@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R4-13,15-18-weka.filters.unsupervised.attribute.NominalToBinary-R2-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute rent numeric
@attribute type=apartment numeric
@attribute type=townhouse numeric
@attribute type=house numeric
@attribute type=duplex numeric
@attribute type=manufactured numeric
@attribute type=condo numeric
@attribute type=loft numeric
@attribute type=flat numeric
@attribute type=cottage/cabin numeric
@attribute type=in-law numeric
@attribute type=land numeric
@attribute demand {yes,no}

@data
1800,0,1,0,0,0,0,0,0,0,0,0,no
1050,0,0,1,0,0,0,0,0,0,0,0,no
2675,1,0,0,0,0,0,0,0,0,0,0,yes
790,1,0,0,0,0,0,0,0,0,0,0,yes
499,1,0,0,0,0,0,0,0,0,0,0,yes
1344.505907,0,0,1,0,0,0,0,0,0,0,0,no
750,0,0,0,1,0,0,0,0,0,0,0,yes
1450,0,0,0,0,0,1,0,0,0,0,0,yes
1400,1,0,0,0,0,0,0,0,0,0,0,yes
1000,1,0,0,0,0,0,0,0,0,0,0,yes
1600,1,0,0,0,0,0,0,0,0,0,0,yes
1190,1,0,0,0,0,0,0,0,0,0,0,yes
6500,0,0,1,0,0,0,0,0,0,0,0,no
2195,1,0,0,0,0,0,0,0,0,0,0,yes
674,1,0,0,0,0,0,0,0,0,0,0,yes
2505,1,0,0,0,0,0,0,0,0,0,0,yes
1699,0,0,1,0,0,0,0,0,0,0,0,yes
529,1,0,0,0,0,0,0,0,0,0,0,yes
900,0,0,1,0,0,0,0,0,0,0,0,yes
2799,1,0,0,0,0,0,0,0,0,0,0,yes
659,1,0,0,0,0,0,0,0,0,0,0,yes
1250,1,0,0,0,0,0,0,0,0,0,0,yes
1995,1,0,0,0,0,0,0,0,0,0,0,yes
951,1,0,0,0,0,0,0,0,0,0,0,yes
1831,0,0,0,0,0,1,0,0,0,0,0,yes
930,1,0,0,0,0,0,0,0,0,0,0,yes
1530,1,0,0,0,0,0,0,0,0,0,0,yes
1798.737159,0,1,0,0,0,0,0,0,0,0,0,no
476,1,0,0,0,0,0,0,0,0,0,0,yes
993.83862,0,0,1,0,0,0,0,0,0,0,0,no
840,1,0,0,0,0,0,0,0,0,0,0,yes
2242.74847,0,0,1,0,0,0,0,0,0,0,0,no
634,1,0,0,0,0,0,0,0,0,0,0,no
849,1,0,0,0,0,0,0,0,0,0,0,yes
591.763605,1,0,0,0,0,0,0,0,0,0,0,no
1915,1,0,0,0,0,0,0,0,0,0,0,yes
550,1,0,0,0,0,0,0,0,0,0,0,yes
3095,1,0,0,0,0,0,0,0,0,0,0,yes
2145,1,0,0,0,0,0,0,0,0,0,0,yes
825,1,0,0,0,0,0,0,0,0,0,0,yes
1130,1,0,0,0,0,0,0,0,0,0,0,yes
2098.744775,0,0,1,0,0,0,0,0,0,0,0,no
1525,1,0,0,0,0,0,0,0,0,0,0,yes
325,1,0,0,0,0,0,0,0,0,0,0,yes
2201.347258,0,0,1,0,0,0,0,0,0,0,0,no
1200,1,0,0,0,0,0,0,0,0,0,0,yes
1449.678731,0,0,1,0,0,0,0,0,0,0,0,no
1500,0,0,1,0,0,0,0,0,0,0,0,yes
2802.451166,0,0,1,0,0,0,0,0,0,0,0,no
605.896277,1,0,0,0,0,0,0,0,0,0,0,no
799,1,0,0,0,0,0,0,0,0,0,0,yes
1156.528987,0,0,1,0,0,0,0,0,0,0,0,no
755,1,0,0,0,0,0,0,0,0,0,0,yes
1025,1,0,0,0,0,0,0,0,0,0,0,no
880,1,0,0,0,0,0,0,0,0,0,0,yes
1900,0,0,0,0,0,1,0,0,0,0,0,yes
1876.728335,0,0,1,0,0,0,0,0,0,0,0,no
1836.202443,0,1,0,0,0,0,0,0,0,0,0,no
1290,1,0,0,0,0,0,0,0,0,0,0,yes
2510.032323,0,0,1,0,0,0,0,0,0,0,0,no
658,1,0,0,0,0,0,0,0,0,0,0,yes
1175,1,0,0,0,0,0,0,0,0,0,0,yes
965,1,0,0,0,0,0,0,0,0,0,0,yes
615,1,0,0,0,0,0,0,0,0,0,0,yes
2150,0,0,1,0,0,0,0,0,0,0,0,yes
2407.097402,0,0,1,0,0,0,0,0,0,0,0,no
1200,1,0,0,0,0,0,0,0,0,0,0,yes
1279.096095,0,0,1,0,0,0,0,0,0,0,0,no
840.047607,0,0,1,0,0,0,0,0,0,0,0,no
975,1,0,0,0,0,0,0,0,0,0,0,yes
1575,0,0,0,1,0,0,0,0,0,0,0,yes
1086,1,0,0,0,0,0,0,0,0,0,0,yes
853,1,0,0,0,0,0,0,0,0,0,0,yes
920,1,0,0,0,0,0,0,0,0,0,0,yes
1265,1,0,0,0,0,0,0,0,0,0,0,yes
920,1,0,0,0,0,0,0,0,0,0,0,yes
1053,0,1,0,0,0,0,0,0,0,0,0,yes
1015,1,0,0,0,0,0,0,0,0,0,0,yes
840,1,0,0,0,0,0,0,0,0,0,0,yes
1249,1,0,0,0,0,0,0,0,0,0,0,yes
1250,0,0,1,0,0,0,0,0,0,0,0,yes
1800,0,0,1,0,0,0,0,0,0,0,0,yes
1378,1,0,0,0,0,0,0,0,0,0,0,yes
1384.747822,0,0,1,0,0,0,0,0,0,0,0,no
1209,1,0,0,0,0,0,0,0,0,0,0,yes
1350,1,0,0,0,0,0,0,0,0,0,0,yes
1435,1,0,0,0,0,0,0,0,0,0,0,yes
900,1,0,0,0,0,0,0,0,0,0,0,yes
1025,0,0,1,0,0,0,0,0,0,0,0,no
1595,0,0,0,0,0,1,0,0,0,0,0,yes
585,1,0,0,0,0,0,0,0,0,0,0,yes
749,1,0,0,0,0,0,0,0,0,0,0,yes
1700,0,0,1,0,0,0,0,0,0,0,0,no
690,1,0,0,0,0,0,0,0,0,0,0,yes
815,1,0,0,0,0,0,0,0,0,0,0,yes
880,1,0,0,0,0,0,0,0,0,0,0,yes
954.233447,1,0,0,0,0,0,0,0,0,0,0,no
920,1,0,0,0,0,0,0,0,0,0,0,yes
2520,1,0,0,0,0,0,0,0,0,0,0,yes
6913,1,0,0,0,0,0,0,0,0,0,0,yes
915,1,0,0,0,0,0,0,0,0,0,0,yes
1300,1,0,0,0,0,0,0,0,0,0,0,yes
755,1,0,0,0,0,0,0,0,0,0,0,yes
1201.909389,1,0,0,0,0,0,0,0,0,0,0,yes
3828.794252,0,0,1,0,0,0,0,0,0,0,0,no
1035,1,0,0,0,0,0,0,0,0,0,0,yes
1320,1,0,0,0,0,0,0,0,0,0,0,yes
1084,1,0,0,0,0,0,0,0,0,0,0,yes
2760,1,0,0,0,0,0,0,0,0,0,0,yes
770,1,0,0,0,0,0,0,0,0,0,0,yes
1025,1,0,0,0,0,0,0,0,0,0,0,yes
1815,1,0,0,0,0,0,0,0,0,0,0,yes
595,1,0,0,0,0,0,0,0,0,0,0,yes
1250,0,0,1,0,0,0,0,0,0,0,0,no
1457,1,0,0,0,0,0,0,0,0,0,0,yes
1126.512899,1,0,0,0,0,0,0,0,0,0,0,no
1025,1,0,0,0,0,0,0,0,0,0,0,yes
1500,1,0,0,0,0,0,0,0,0,0,0,yes
1240,1,0,0,0,0,0,0,0,0,0,0,yes
1850,1,0,0,0,0,0,0,0,0,0,0,yes
1320,1,0,0,0,0,0,0,0,0,0,0,yes
2300,1,0,0,0,0,0,0,0,0,0,0,no
1674,0,0,1,0,0,0,0,0,0,0,0,yes
1695,0,0,1,0,0,0,0,0,0,0,0,no
2850,0,0,0,0,0,1,0,0,0,0,0,no
925,1,0,0,0,0,0,0,0,0,0,0,yes
950,1,0,0,0,0,0,0,0,0,0,0,yes
665,1,0,0,0,0,0,0,0,0,0,0,yes
917,1,0,0,0,0,0,0,0,0,0,0,yes
850,0,0,1,0,0,0,0,0,0,0,0,no
1052.179753,1,0,0,0,0,0,0,0,0,0,0,no
1281,1,0,0,0,0,0,0,0,0,0,0,yes
850,1,0,0,0,0,0,0,0,0,0,0,no
2040,1,0,0,0,0,0,0,0,0,0,0,yes
1210.887575,0,0,1,0,0,0,0,0,0,0,0,no
1695,0,0,1,0,0,0,0,0,0,0,0,no
1880,1,0,0,0,0,0,0,0,0,0,0,yes
2200,0,0,1,0,0,0,0,0,0,0,0,no
1325,1,0,0,0,0,0,0,0,0,0,0,yes
855,1,0,0,0,0,0,0,0,0,0,0,yes
743,1,0,0,0,0,0,0,0,0,0,0,yes
900,1,0,0,0,0,0,0,0,0,0,0,yes
679,1,0,0,0,0,0,0,0,0,0,0,yes
775,0,0,0,0,0,0,0,1,0,0,0,yes
4137.447772,0,0,1,0,0,0,0,0,0,0,0,no
2295,1,0,0,0,0,0,0,0,0,0,0,yes
1383.959149,0,0,1,0,0,0,0,0,0,0,0,no
985,1,0,0,0,0,0,0,0,0,0,0,yes
985,0,0,1,0,0,0,0,0,0,0,0,no
900,0,0,1,0,0,0,0,0,0,0,0,yes
910,1,0,0,0,0,0,0,0,0,0,0,yes
1325,1,0,0,0,0,0,0,0,0,0,0,no
2590,1,0,0,0,0,0,0,0,0,0,0,yes
2095,1,0,0,0,0,0,0,0,0,0,0,yes
575,1,0,0,0,0,0,0,0,0,0,0,yes
699,1,0,0,0,0,0,0,0,0,0,0,yes
1133,0,0,1,0,0,0,0,0,0,0,0,yes
1860,1,0,0,0,0,0,0,0,0,0,0,yes
2497.910752,0,0,1,0,0,0,0,0,0,0,0,no
1500,1,0,0,0,0,0,0,0,0,0,0,yes
2030,1,0,0,0,0,0,0,0,0,0,0,yes
1726.202579,1,0,0,0,0,0,0,0,0,0,0,no
780,1,0,0,0,0,0,0,0,0,0,0,yes
2080,1,0,0,0,0,0,0,0,0,0,0,yes
1800,1,0,0,0,0,0,0,0,0,0,0,yes
1095,1,0,0,0,0,0,0,0,0,0,0,yes
1819.935733,0,0,1,0,0,0,0,0,0,0,0,no
1615,1,0,0,0,0,0,0,0,0,0,0,yes
1790,1,0,0,0,0,0,0,0,0,0,0,yes
1225,1,0,0,0,0,0,0,0,0,0,0,yes
950,1,0,0,0,0,0,0,0,0,0,0,yes
1039.489201,1,0,0,0,0,0,0,0,0,0,0,yes
2646.68724,0,0,1,0,0,0,0,0,0,0,0,no
2245,0,1,0,0,0,0,0,0,0,0,0,no
1050,0,0,1,0,0,0,0,0,0,0,0,yes
1800.84365,0,0,1,0,0,0,0,0,0,0,0,no
733,1,0,0,0,0,0,0,0,0,0,0,yes
975,0,0,1,0,0,0,0,0,0,0,0,yes
2702.156493,0,0,1,0,0,0,0,0,0,0,0,no
2300,0,0,1,0,0,0,0,0,0,0,0,yes
879,0,0,0,0,1,0,0,0,0,0,0,yes
3347.457781,1,0,0,0,0,0,0,0,0,0,0,no
1600,0,0,1,0,0,0,0,0,0,0,0,yes
1749,1,0,0,0,0,0,0,0,0,0,0,yes
1125,1,0,0,0,0,0,0,0,0,0,0,yes
2895,0,0,1,0,0,0,0,0,0,0,0,yes
1510,1,0,0,0,0,0,0,0,0,0,0,yes
1060,1,0,0,0,0,0,0,0,0,0,0,yes
525,0,0,0,0,1,0,0,0,0,0,0,yes
995,1,0,0,0,0,0,0,0,0,0,0,yes
740,1,0,0,0,0,0,0,0,0,0,0,yes
1125,1,0,0,0,0,0,0,0,0,0,0,yes
1399,1,0,0,0,0,0,0,0,0,0,0,yes
1399,1,0,0,0,0,0,0,0,0,0,0,yes
1834,1,0,0,0,0,0,0,0,0,0,0,yes
950,1,0,0,0,0,0,0,0,0,0,0,yes
1125,1,0,0,0,0,0,0,0,0,0,0,yes
899,1,0,0,0,0,0,0,0,0,0,0,yes
963,1,0,0,0,0,0,0,0,0,0,0,yes
2500,0,0,1,0,0,0,0,0,0,0,0,yes
2457,1,0,0,0,0,0,0,0,0,0,0,yes
900,0,0,0,0,0,0,0,1,0,0,0,yes
829,1,0,0,0,0,0,0,0,0,0,0,yes
1394.06662,0,0,1,0,0,0,0,0,0,0,0,no
795,1,0,0,0,0,0,0,0,0,0,0,yes
556.442352,0,0,1,0,0,0,0,0,0,0,0,no
745,1,0,0,0,0,0,0,0,0,0,0,yes
892,1,0,0,0,0,0,0,0,0,0,0,yes
1250,1,0,0,0,0,0,0,0,0,0,0,yes
750,0,0,0,1,0,0,0,0,0,0,0,yes
1599,0,0,1,0,0,0,0,0,0,0,0,yes
690,1,0,0,0,0,0,0,0,0,0,0,yes
910,1,0,0,0,0,0,0,0,0,0,0,yes
1050.63111,1,0,0,0,0,0,0,0,0,0,0,no
1320,1,0,0,0,0,0,0,0,0,0,0,yes
2295,0,0,0,1,0,0,0,0,0,0,0,yes
839,1,0,0,0,0,0,0,0,0,0,0,yes
950,1,0,0,0,0,0,0,0,0,0,0,yes
2275,1,0,0,0,0,0,0,0,0,0,0,yes
585,1,0,0,0,0,0,0,0,0,0,0,yes
1235,0,0,1,0,0,0,0,0,0,0,0,yes
815,1,0,0,0,0,0,0,0,0,0,0,yes
1675,1,0,0,0,0,0,0,0,0,0,0,yes
1568,1,0,0,0,0,0,0,0,0,0,0,yes
1053,0,1,0,0,0,0,0,0,0,0,0,no
625,0,1,0,0,0,0,0,0,0,0,0,yes
995,1,0,0,0,0,0,0,0,0,0,0,yes
950,1,0,0,0,0,0,0,0,0,0,0,yes
1100,1,0,0,0,0,0,0,0,0,0,0,yes
925,1,0,0,0,0,0,0,0,0,0,0,yes
650,1,0,0,0,0,0,0,0,0,0,0,yes
2310.069004,0,0,1,0,0,0,0,0,0,0,0,no
1119,1,0,0,0,0,0,0,0,0,0,0,yes
925,1,0,0,0,0,0,0,0,0,0,0,yes
873,1,0,0,0,0,0,0,0,0,0,0,yes
825,1,0,0,0,0,0,0,0,0,0,0,yes
1975,0,0,0,0,0,1,0,0,0,0,0,yes
675,1,0,0,0,0,0,0,0,0,0,0,yes
1245,1,0,0,0,0,0,0,0,0,0,0,yes
2352.619303,0,0,1,0,0,0,0,0,0,0,0,no
2565,1,0,0,0,0,0,0,0,0,0,0,yes
3000,1,0,0,0,0,0,0,0,0,0,0,yes
665,1,0,0,0,0,0,0,0,0,0,0,yes
1725,1,0,0,0,0,0,0,0,0,0,0,no
1288.946149,1,0,0,0,0,0,0,0,0,0,0,no
2324.391198,0,0,1,0,0,0,0,0,0,0,0,no
2650,1,0,0,0,0,0,0,0,0,0,0,yes
2275,1,0,0,0,0,0,0,0,0,0,0,yes
1117.450891,1,0,0,0,0,0,0,0,0,0,0,yes
299.108874,1,0,0,0,0,0,0,0,0,0,0,yes
732,1,0,0,0,0,0,0,0,0,0,0,yes
575,1,0,0,0,0,0,0,0,0,0,0,yes
825,1,0,0,0,0,0,0,0,0,0,0,yes
1650,0,0,1,0,0,0,0,0,0,0,0,yes
700,1,0,0,0,0,0,0,0,0,0,0,yes
1395,1,0,0,0,0,0,0,0,0,0,0,yes
2795,1,0,0,0,0,0,0,0,0,0,0,yes
2256.371907,1,0,0,0,0,0,0,0,0,0,0,no
1775,1,0,0,0,0,0,0,0,0,0,0,yes
465,1,0,0,0,0,0,0,0,0,0,0,yes
809,1,0,0,0,0,0,0,0,0,0,0,yes
975,1,0,0,0,0,0,0,0,0,0,0,yes
905,1,0,0,0,0,0,0,0,0,0,0,yes
715,1,0,0,0,0,0,0,0,0,0,0,yes
550,0,0,0,1,0,0,0,0,0,0,0,yes
1476,1,0,0,0,0,0,0,0,0,0,0,yes
616.025398,1,0,0,0,0,0,0,0,0,0,0,no
1401,1,0,0,0,0,0,0,0,0,0,0,yes
740,1,0,0,0,0,0,0,0,0,0,0,yes
799,1,0,0,0,0,0,0,0,0,0,0,yes
1850,0,0,1,0,0,0,0,0,0,0,0,no
792,1,0,0,0,0,0,0,0,0,0,0,yes
1275,1,0,0,0,0,0,0,0,0,0,0,yes
750,0,0,1,0,0,0,0,0,0,0,0,no
1327,1,0,0,0,0,0,0,0,0,0,0,yes
850,1,0,0,0,0,0,0,0,0,0,0,yes
605,1,0,0,0,0,0,0,0,0,0,0,yes
630,1,0,0,0,0,0,0,0,0,0,0,yes
799,1,0,0,0,0,0,0,0,0,0,0,yes
1154,1,0,0,0,0,0,0,0,0,0,0,yes
893,1,0,0,0,0,0,0,0,0,0,0,yes
2207.750294,0,0,1,0,0,0,0,0,0,0,0,no
1029,1,0,0,0,0,0,0,0,0,0,0,yes
834,1,0,0,0,0,0,0,0,0,0,0,yes
869,1,0,0,0,0,0,0,0,0,0,0,yes
1441,1,0,0,0,0,0,0,0,0,0,0,yes
1788.067347,0,0,1,0,0,0,0,0,0,0,0,no
2500,1,0,0,0,0,0,0,0,0,0,0,yes
950,0,0,0,1,0,0,0,0,0,0,0,yes
817.251199,0,0,1,0,0,0,0,0,0,0,0,no
1300,0,0,1,0,0,0,0,0,0,0,0,no
1665.452869,0,0,1,0,0,0,0,0,0,0,0,no
850,1,0,0,0,0,0,0,0,0,0,0,yes
1195,1,0,0,0,0,0,0,0,0,0,0,yes
1145,1,0,0,0,0,0,0,0,0,0,0,yes
3585,1,0,0,0,0,0,0,0,0,0,0,yes
1205,1,0,0,0,0,0,0,0,0,0,0,yes
1050,1,0,0,0,0,0,0,0,0,0,0,yes
1937.973904,0,0,1,0,0,0,0,0,0,0,0,no
899,1,0,0,0,0,0,0,0,0,0,0,yes
1600,1,0,0,0,0,0,0,0,0,0,0,yes
1270,1,0,0,0,0,0,0,0,0,0,0,yes
1450,1,0,0,0,0,0,0,0,0,0,0,yes
982.187096,0,0,1,0,0,0,0,0,0,0,0,no
765,1,0,0,0,0,0,0,0,0,0,0,yes
1299,1,0,0,0,0,0,0,0,0,0,0,yes
743,1,0,0,0,0,0,0,0,0,0,0,yes
710,1,0,0,0,0,0,0,0,0,0,0,yes
775,1,0,0,0,0,0,0,0,0,0,0,yes
1695,0,0,1,0,0,0,0,0,0,0,0,no
1322.374152,0,0,1,0,0,0,0,0,0,0,0,no
955,1,0,0,0,0,0,0,0,0,0,0,yes
1536,1,0,0,0,0,0,0,0,0,0,0,yes
1060,1,0,0,0,0,0,0,0,0,0,0,yes
2200,0,0,1,0,0,0,0,0,0,0,0,no
895,1,0,0,0,0,0,0,0,0,0,0,yes
1300,1,0,0,0,0,0,0,0,0,0,0,yes
1220,1,0,0,0,0,0,0,0,0,0,0,yes
799,1,0,0,0,0,0,0,0,0,0,0,yes
1000,1,0,0,0,0,0,0,0,0,0,0,yes
898,1,0,0,0,0,0,0,0,0,0,0,yes
599,1,0,0,0,0,0,0,0,0,0,0,yes
618.129979,1,0,0,0,0,0,0,0,0,0,0,no
920,1,0,0,0,0,0,0,0,0,0,0,yes
835,1,0,0,0,0,0,0,0,0,0,0,yes
729,0,0,1,0,0,0,0,0,0,0,0,no
1270,1,0,0,0,0,0,0,0,0,0,0,yes
745,1,0,0,0,0,0,0,0,0,0,0,yes
1725,1,0,0,0,0,0,0,0,0,0,0,yes
1499,1,0,0,0,0,0,0,0,0,0,0,yes
569.963333,0,0,1,0,0,0,0,0,0,0,0,no
545,1,0,0,0,0,0,0,0,0,0,0,yes
995,0,0,1,0,0,0,0,0,0,0,0,yes
563.991343,1,0,0,0,0,0,0,0,0,0,0,no
4000,0,0,0,1,0,0,0,0,0,0,0,yes
1000,0,0,1,0,0,0,0,0,0,0,0,no
825,1,0,0,0,0,0,0,0,0,0,0,yes
1350,0,0,1,0,0,0,0,0,0,0,0,yes
1620,1,0,0,0,0,0,0,0,0,0,0,yes
1750,0,0,1,0,0,0,0,0,0,0,0,yes
1255,1,0,0,0,0,0,0,0,0,0,0,yes
1005,1,0,0,0,0,0,0,0,0,0,0,yes
1920,0,0,1,0,0,0,0,0,0,0,0,no
731,1,0,0,0,0,0,0,0,0,0,0,yes
575,1,0,0,0,0,0,0,0,0,0,0,yes
710,1,0,0,0,0,0,0,0,0,0,0,yes
799,1,0,0,0,0,0,0,0,0,0,0,yes
1065,1,0,0,0,0,0,0,0,0,0,0,yes
795,1,0,0,0,0,0,0,0,0,0,0,yes
1250,1,0,0,0,0,0,0,0,0,0,0,yes
1395,0,0,0,0,0,0,0,0,0,1,0,yes
995,1,0,0,0,0,0,0,0,0,0,0,yes
1500,0,0,1,0,0,0,0,0,0,0,0,yes
2575,0,1,0,0,0,0,0,0,0,0,0,no
1915,1,0,0,0,0,0,0,0,0,0,0,yes
1350,0,0,1,0,0,0,0,0,0,0,0,yes
1145,1,0,0,0,0,0,0,0,0,0,0,yes
769.93901,0,0,1,0,0,0,0,0,0,0,0,no
1425,1,0,0,0,0,0,0,0,0,0,0,yes
1455.00198,0,0,1,0,0,0,0,0,0,0,0,no
1650,0,0,1,0,0,0,0,0,0,0,0,yes
1695,0,0,1,0,0,0,0,0,0,0,0,no
865,1,0,0,0,0,0,0,0,0,0,0,yes
1050,1,0,0,0,0,0,0,0,0,0,0,yes
3232.562455,0,1,0,0,0,0,0,0,0,0,0,no
783.166637,0,0,1,0,0,0,0,0,0,0,0,no
1265,1,0,0,0,0,0,0,0,0,0,0,yes
1600,1,0,0,0,0,0,0,0,0,0,0,yes
1065,1,0,0,0,0,0,0,0,0,0,0,yes
1650,0,0,0,1,0,0,0,0,0,0,0,yes
1265.701334,0,0,1,0,0,0,0,0,0,0,0,no
1796,1,0,0,0,0,0,0,0,0,0,0,yes
2915.375617,0,0,1,0,0,0,0,0,0,0,0,yes
1395,0,0,1,0,0,0,0,0,0,0,0,no
1289,1,0,0,0,0,0,0,0,0,0,0,yes
2375,1,0,0,0,0,0,0,0,0,0,0,yes
1725,1,0,0,0,0,0,0,0,0,0,0,no
780,1,0,0,0,0,0,0,0,0,0,0,yes
850,1,0,0,0,0,0,0,0,0,0,0,yes
650,1,0,0,0,0,0,0,0,0,0,0,yes
1000,1,0,0,0,0,0,0,0,0,0,0,yes
2385.681884,0,0,1,0,0,0,0,0,0,0,0,no
1958.971986,0,0,1,0,0,0,0,0,0,0,0,no
985,0,0,0,1,0,0,0,0,0,0,0,yes
1850,1,0,0,0,0,0,0,0,0,0,0,yes
2730,1,0,0,0,0,0,0,0,0,0,0,yes
1250,0,0,1,0,0,0,0,0,0,0,0,no
1051.890493,1,0,0,0,0,0,0,0,0,0,0,no
1155,1,0,0,0,0,0,0,0,0,0,0,yes
848.978941,1,0,0,0,0,0,0,0,0,0,0,no
989.731041,0,0,1,0,0,0,0,0,0,0,0,no
2490,1,0,0,0,0,0,0,0,0,0,0,yes
1695,0,0,1,0,0,0,0,0,0,0,0,no
850,0,0,0,1,0,0,0,0,0,0,0,yes
1270,1,0,0,0,0,0,0,0,0,0,0,yes
929.047312,1,0,0,0,0,0,0,0,0,0,0,no
1882.598899,0,0,1,0,0,0,0,0,0,0,0,no
2238.035644,0,0,1,0,0,0,0,0,0,0,0,no
995,1,0,0,0,0,0,0,0,0,0,0,yes
1430,1,0,0,0,0,0,0,0,0,0,0,yes
700,1,0,0,0,0,0,0,0,0,0,0,yes
1120,1,0,0,0,0,0,0,0,0,0,0,yes
1281,1,0,0,0,0,0,0,0,0,0,0,yes
1750,0,0,1,0,0,0,0,0,0,0,0,no
892.451441,0,0,1,0,0,0,0,0,0,0,0,no
2235,1,0,0,0,0,0,0,0,0,0,0,yes
1295,0,0,1,0,0,0,0,0,0,0,0,yes
995,0,0,0,1,0,0,0,0,0,0,0,yes
1600,1,0,0,0,0,0,0,0,0,0,0,yes
2480,1,0,0,0,0,0,0,0,0,0,0,yes
1380,0,0,1,0,0,0,0,0,0,0,0,yes
850,1,0,0,0,0,0,0,0,0,0,0,yes
1308,1,0,0,0,0,0,0,0,0,0,0,yes
610,1,0,0,0,0,0,0,0,0,0,0,yes
1054,1,0,0,0,0,0,0,0,0,0,0,yes
800,1,0,0,0,0,0,0,0,0,0,0,yes
474,0,0,1,0,0,0,0,0,0,0,0,no
1375,0,0,1,0,0,0,0,0,0,0,0,no
643,1,0,0,0,0,0,0,0,0,0,0,yes
1765,1,0,0,0,0,0,0,0,0,0,0,yes
2550,0,0,1,0,0,0,0,0,0,0,0,yes
1325,1,0,0,0,0,0,0,0,0,0,0,yes
1798.688872,0,0,1,0,0,0,0,0,0,0,0,no
300,1,0,0,0,0,0,0,0,0,0,0,yes
1850,1,0,0,0,0,0,0,0,0,0,0,yes
1750,1,0,0,0,0,0,0,0,0,0,0,yes
325,1,0,0,0,0,0,0,0,0,0,0,yes
985,1,0,0,0,0,0,0,0,0,0,0,no
3100,0,0,0,1,0,0,0,0,0,0,0,yes
2197.256112,0,0,1,0,0,0,0,0,0,0,0,no
1606.079076,0,0,1,0,0,0,0,0,0,0,0,no
3500,1,0,0,0,0,0,0,0,0,0,0,yes
1025,0,0,1,0,0,0,0,0,0,0,0,yes
2125.156346,0,0,1,0,0,0,0,0,0,0,0,no
1085,1,0,0,0,0,0,0,0,0,0,0,yes
1200,0,0,1,0,0,0,0,0,0,0,0,yes
1615,1,0,0,0,0,0,0,0,0,0,0,yes
975,1,0,0,0,0,0,0,0,0,0,0,yes
1270,1,0,0,0,0,0,0,0,0,0,0,yes
1525,1,0,0,0,0,0,0,0,0,0,0,yes
