@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute rent numeric
@attribute type {apartment,townhouse,house,duplex,manufactured,condo,loft,flat,cottage/cabin,in-law,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed {0,1}
@attribute dogs_allowed {0,1}
@attribute smoking_allowed {0,1}
@attribute wheelchair_access {0,1}
@attribute electric_vehicle_charge {0,1}
@attribute comes_furnished {0,1}
@attribute laundry_options {'laundry in bldg','w/d in unit','w/d hookups','laundry on site','no laundry on site'}
@attribute parking_options {'off-street parking','attached garage','detached garage',carport,'street parking','valet parking','no parking'}
@attribute price_per_sqft numeric
@attribute pet_friendly_score numeric
@attribute accessibility_score numeric
@attribute total_rooms numeric
@attribute description numeric
@attribute demand {yes,no}

@data
1500,apartment,945,2,1,1,1,1,0,0,0,'w/d in unit',?,1.587302,2,0,3,247,yes
1240,apartment,1004,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.23506,2,0,4,290,yes
1850,apartment,1231,3,2,1,1,1,0,0,0,'w/d in unit',carport,1.502843,2,0,5,247,yes
1320,apartment,932,2,2,0,0,1,0,0,0,'w/d in unit',?,1.416309,0,0,4,248,yes
2300,apartment,1410,4,2,1,1,1,1,0,1,'w/d in unit','off-street parking',1.631206,2,1,6,255,no
1674,house,1244,3,2,1,1,0,0,0,0,'w/d in unit',carport,1.345659,2,0,5,157,yes
1695,house,1805,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.939058,2,0,6,173,no
2850,condo,1562,4,3,0,0,1,0,0,0,'w/d in unit','off-street parking',1.824584,0,0,7,189,no
925,apartment,1096,3,2,1,1,1,0,0,0,'w/d in unit',carport,0.843978,2,0,5,82,yes
950,apartment,845,2,1,1,1,1,0,0,0,'laundry on site',carport,1.12426,2,0,3,135,yes
665,apartment,540,1,1,1,1,1,0,0,0,'laundry on site',carport,1.231481,2,0,2,171,yes
917,apartment,640,1,1,1,1,1,0,0,0,'laundry on site',carport,1.432813,2,0,2,90,yes
850,house,1600,4,2,0,0,0,0,0,0,'laundry in bldg','off-street parking',0.53125,0,0,6,67,no
1052.179753,apartment,1256,4,2,1,1,1,1,0,0,'w/d in unit','off-street parking',0.837729,1,0,6,296,no
1281,apartment,610,1,1,1,1,1,1,0,0,'w/d in unit','attached garage',2.1,2,1,2,65,yes
850,apartment,1226,5,1,1,1,1,0,0,0,?,?,0.693312,2,0,6,119,no
2040,apartment,1076,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',1.895911,2,0,4,475,yes
1210.887575,house,1807.30145,4,2,0,0,1,0,0,0,'w/d in unit','attached garage',0.675189,0,0,6,117,no
1695,house,1607,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.05476,0,0,6,64,no
1880,apartment,1000,2,2,1,1,0,0,0,0,'w/d in unit',carport,1.88,2,0,4,247,yes
2200,house,2029.339615,5,3,1,1,1,0,0,0,'w/d in unit','attached garage',1.084097,2,0,8,73,no
1325,apartment,965,2,1,1,1,1,0,0,0,'w/d hookups',carport,1.373057,2,0,3,337,yes
855,apartment,792,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',1.079545,2,0,2,128,yes
743,apartment,755,1,1,1,1,1,0,0,0,?,?,0.984106,2,0,2,145,yes
900,apartment,900,1,1,0,0,0,0,0,1,'w/d in unit','attached garage',1,0,0,2,79,yes
679,apartment,240,0,1,0,0,1,0,0,0,?,?,2.829167,0,0,1,179,yes
775,flat,750,2,1,1,1,1,0,0,0,'laundry on site',?,1.033333,2,0,3,120,yes
4137.447772,house,3160,4,3,0,1,1,0,0,0,'w/d in unit','attached garage',1.310336,1,0,7,204,no
2295,apartment,800,2,1,1,1,1,0,0,0,'laundry in bldg','attached garage',2.86875,2,0,3,151,yes
1383.959149,house,1681.474179,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.828176,1,0,6,243,no
985,apartment,1050,2,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.938095,0,0,4,263,yes
985,house,2010,4,2,1,1,1,1,0,1,'w/d in unit','attached garage',0.49005,2,1,6,202,no
900,house,1419,5,2,1,1,1,0,0,0,?,?,0.634249,2,0,7,54,yes
910,apartment,1036,1,1,1,1,0,0,0,0,'w/d hookups',?,0.878378,2,0,2,230,yes
1325,apartment,1050,4,2,1,1,1,0,0,0,'laundry in bldg',carport,1.261905,2,0,6,81,no
2590,apartment,1096,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',2.363139,2,0,4,98,yes
2095,apartment,1045,2,2,1,1,1,0,1,0,'w/d in unit',?,2.004785,2,1,4,95,yes
575,apartment,570,1,1,1,1,1,0,0,0,'laundry on site',carport,1.008772,2,0,2,137,yes
699,apartment,863,2,1,1,1,1,0,0,0,'w/d hookups',?,0.809965,2,0,3,126,yes
1133,house,1225,1,1,0,1,0,0,0,0,'w/d in unit','off-street parking',0.924898,1,0,2,102,yes
1860,apartment,1012,2,1,1,1,1,0,0,0,'w/d in unit','off-street parking',1.837945,2,0,3,367,yes
2497.910752,house,2321.722871,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.075194,0,0,7,45,no
1500,apartment,991,2,2,0,0,1,0,0,0,'w/d in unit','street parking',1.513623,0,0,4,212,yes
2030,apartment,625,1,1,1,1,1,0,0,0,'laundry on site',carport,3.248,2,0,2,137,yes
1726.202579,apartment,1731.633269,4,2,1,1,0,0,0,0,'w/d in unit','detached garage',1.005749,2,0,6,171,no
780,apartment,912,2,2,1,1,1,0,0,0,'w/d in unit',carport,0.855263,2,0,4,146,yes
2080,apartment,800,2,1,1,1,1,0,0,0,'laundry on site',carport,2.6,2,0,3,177,yes
1800,apartment,761,1,1,1,1,1,0,1,0,'w/d in unit',?,2.365309,2,1,2,141,yes
1095,apartment,1124,2,2,1,1,1,1,0,0,'w/d in unit',?,0.974199,2,1,4,269,yes
1819.935733,house,2016.729733,4,2,1,1,1,0,0,0,'w/d in unit','attached garage',0.904159,1,0,6,71,no
1615,apartment,935,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1.727273,2,0,4,76,yes
1790,apartment,746,1,1,1,1,0,1,0,0,'w/d in unit','attached garage',2.399464,2,1,2,469,yes
1225,apartment,1100,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',1.113636,2,0,4,75,yes
950,apartment,1107,2,2,1,1,1,0,0,0,'w/d in unit',?,0.858175,2,0,4,223,yes
1039.489201,apartment,800,2,1,0,0,0,0,0,0,'laundry on site',carport,1.299362,0,0,3,103,yes
2646.68724,house,1771.059513,4,2,0,0,0,0,0,0,'w/d hookups','attached garage',1.446064,0,0,6,324,no
2245,townhouse,1675,4,2,1,1,0,0,0,0,'w/d in unit','attached garage',1.340299,2,0,6,144,no
1050,house,1100,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.954545,2,0,4,77,yes
1800.84365,house,1867.418184,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.962575,1,0,6,80,no
733,apartment,840,2,1,1,1,0,1,0,0,'w/d in unit',carport,0.872619,2,1,3,106,yes
975,house,2400,3,3,1,1,0,0,0,0,'w/d hookups','off-street parking',0.40625,2,0,6,89,yes
2702.156493,house,2635.472902,4,3,0,0,1,0,0,0,'w/d in unit','attached garage',1.041981,0,0,7,65,no
2300,house,2144,3,2,0,0,0,0,0,0,'w/d hookups','attached garage',1.072761,0,0,5,110,yes
879,manufactured,924,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',0.951299,2,0,5,156,yes
3347.457781,apartment,1461.509856,4,2,1,1,1,0,0,0,'w/d in unit','attached garage',2.35005,0,0,6,159,no
1600,house,300,1,1,0,0,0,0,0,0,'laundry on site','street parking',5.333333,0,0,2,190,yes
1749,apartment,1250,2,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.3992,0,0,4,322,yes
1125,apartment,1365,3,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.824176,0,0,5,137,yes
2895,house,1250,3,1,0,0,0,0,0,0,'w/d hookups','attached garage',2.316,0,0,4,146,yes
1510,apartment,925,2,2,1,1,0,0,0,0,'w/d in unit',carport,1.632432,2,0,4,245,yes
1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',0.963636,2,0,4,127,yes
525,manufactured,800,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',0.65625,2,0,3,61,yes
995,apartment,921,2,1,1,1,1,0,0,0,'laundry in bldg',carport,1.080347,2,0,3,134,yes
740,apartment,950,2,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.778947,2,0,3,388,yes
1125,apartment,1216,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.925164,2,0,4,146,yes
1399,apartment,960,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.457292,2,0,4,358,yes
1399,apartment,960,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.457292,2,0,4,509,yes
1834,apartment,1281,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',1.431694,2,0,4,298,yes
950,apartment,957,2,1,0,0,1,0,0,0,'laundry on site',carport,0.992685,0,0,3,101,yes
1125,apartment,795,2,1,1,1,1,0,0,0,'laundry on site',carport,1.415094,2,0,3,336,yes
899,apartment,976,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',0.921107,2,0,4,313,yes
963,apartment,1323,2,2,0,0,1,0,0,0,?,?,0.727891,0,0,4,130,yes
2500,house,750,2,1,0,0,0,0,0,0,'w/d hookups','attached garage',3.333333,0,0,3,38,yes
2457,apartment,760,1,1,1,1,0,0,1,0,'w/d in unit','attached garage',3.232895,2,1,2,297,yes
900,flat,800,1,1,0,0,0,0,0,0,'w/d hookups','attached garage',1.125,0,0,2,146,yes
829,apartment,820,2,2,1,1,1,0,0,0,'laundry on site',carport,1.010976,2,0,4,302,yes
1394.06662,house,1679.380253,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.83783,1,0,6,248,no
795,apartment,600,0,1,0,0,0,0,0,0,'laundry on site','off-street parking',1.325,0,0,1,89,yes
556.442352,house,2350.093327,4,3,0,0,1,0,0,0,'w/d in unit','attached garage',0.23787,0,0,7,106,no
745,apartment,877,3,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.849487,0,0,4,113,yes
892,apartment,972,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.917695,2,0,4,414,yes
1250,apartment,1050,2,1,0,0,0,0,0,0,'laundry in bldg','off-street parking',1.190476,0,0,3,94,yes
750,duplex,1000,2,2,0,0,0,0,0,0,'w/d hookups','attached garage',0.75,0,0,4,44,yes
1599,house,1100,3,2,1,1,1,0,0,0,'w/d hookups',carport,1.453636,2,0,5,59,yes
690,apartment,730,1,1,1,1,0,1,0,0,?,?,0.945205,2,1,2,207,yes
910,apartment,792,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',1.14899,2,0,2,135,yes
1050.63111,apartment,1256,4,2,1,1,1,0,0,0,'w/d in unit','off-street parking',0.836306,2,0,6,351,no
1320,apartment,1271,3,2,1,1,1,0,0,0,'w/d in unit',carport,1.038552,2,0,5,112,yes
2295,duplex,720,1,1,0,0,0,0,0,0,'no laundry on site','off-street parking',3.1875,0,0,2,51,yes
