@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-3,12-14'

@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed {0,1}
@attribute dogs_allowed {0,1}
@attribute smoking_allowed {0,1}
@attribute wheelchair_access {0,1}
@attribute electric_vehicle_charge {0,1}
@attribute comes_furnished {0,1}
@attribute pet_friendly_score numeric
@attribute accessibility_score numeric
@attribute total_rooms numeric
@attribute description numeric
@attribute demand {yes,no}

@data
1,1,1,1,1,0,0,0,2,0,2,135,yes
1,1,1,1,1,0,0,0,2,0,2,71,yes
4,1,0,0,1,0,0,0,1,0,5,250,no
2,1,0,0,0,0,0,0,0,0,3,83,yes
2,1,0,0,0,0,0,0,0,0,3,246,yes
2,2,0,0,1,0,0,0,0,0,4,104,yes
1,1,1,1,0,1,0,0,2,1,2,198,yes
1,1,1,1,1,0,0,0,2,0,2,61,yes
1,1,0,0,1,0,0,0,0,0,2,68,yes
4,5,0,0,0,0,0,0,2,0,9,193,no
1,1,0,0,1,0,0,0,0,0,2,149,yes
2,2,1,1,1,0,0,0,2,0,4,428,yes
1,1,1,1,1,0,0,0,2,0,2,159,yes
3,2,1,1,1,0,0,0,2,0,5,102,yes
1,1,1,1,1,0,0,0,2,0,2,137,yes
3,2,1,1,1,0,0,1,2,0,5,92,yes
2,2,0,0,1,1,1,0,0,2,4,160,yes
2,1,1,1,1,0,0,0,2,0,3,118,yes
1,1,1,1,1,0,0,0,2,0,2,218,yes
2,2,1,1,1,0,0,0,2,0,4,477,yes
2,2,1,1,1,0,1,0,2,1,4,413,yes
2,1,0,0,1,0,0,0,0,0,3,63,yes
2,2,0,0,1,0,0,0,0,0,4,101,yes
3,2,1,1,1,0,0,0,2,0,5,265,yes
4,2,0,0,0,0,0,0,0,0,6,69,no
0,1,0,0,1,0,0,0,0,0,1,222,yes
4,2,1,1,1,0,0,0,2,0,6,113,no
1,1,1,1,1,0,0,0,2,0,2,127,yes
4,2,0,0,0,0,0,0,1,0,6,122,no
4,4,0,0,1,0,0,0,0,0,8,115,no
1,1,1,1,1,0,0,0,2,0,2,299,yes
4,4,0,0,1,0,0,0,0,0,8,329,no
2,2,1,1,1,0,1,0,2,1,4,233,yes
2,1,1,1,0,0,0,0,2,0,3,194,yes
2,2,1,1,1,0,0,0,2,0,4,253,yes
2,1,1,1,1,0,0,0,2,0,3,333,yes
1,1,0,0,0,0,0,0,0,0,2,135,yes
1,1,1,1,1,0,0,0,2,0,2,64,yes
5,3,0,0,0,0,0,0,0,0,8,108,no
3,2,1,1,1,0,0,0,2,0,5,222,yes
1,1,0,0,1,0,0,1,0,0,2,123,yes
4,3,0,0,0,0,0,0,0,0,7,119,no
2,2,1,1,1,1,0,0,2,1,4,75,yes
4,2,1,1,0,0,0,0,2,0,6,46,no
3,1,0,0,0,0,0,1,0,0,4,50,yes
4,2,0,0,1,0,0,0,0,0,6,91,no
4,2,1,1,0,0,0,0,0,0,6,78,no
2,1,1,1,1,0,0,0,2,0,3,97,yes
4,1,0,0,1,0,0,0,0,0,6,148,no
2,2,1,1,0,1,0,0,2,1,4,128,yes
4,2,1,1,1,0,0,0,2,0,6,37,no
1,1,0,0,1,0,0,0,0,0,2,343,yes
2,2,0,0,0,0,0,0,0,0,4,95,yes
4,2,0,1,0,0,0,0,1,0,6,92,no
2,2,0,0,1,0,0,0,0,0,5,134,no
2,2,1,1,1,0,0,0,2,0,4,324,yes
5,3,0,0,0,0,0,0,0,0,8,121,no
1,1,1,1,1,0,0,0,2,0,2,1211,yes
3,2,1,1,0,0,0,0,2,0,5,179,yes
2,2,1,1,1,0,0,0,2,0,4,128,yes
1,1,1,1,0,0,0,0,2,0,2,226,yes
3,2,1,1,1,0,0,0,2,0,5,38,yes
4,3,0,0,0,0,0,0,0,0,7,232,no
2,1,1,0,1,0,0,0,1,0,3,88,yes
4,2,1,1,1,0,0,0,2,0,6,62,no
4,2,1,1,1,0,0,0,2,0,6,103,no
2,1,1,1,1,0,0,0,2,0,3,134,yes
3,1,0,0,0,0,0,0,0,0,4,68,yes
2,0,1,1,1,0,0,0,2,0,2,257,yes
2,2,1,1,0,1,0,0,2,1,4,73,yes
3,2,1,1,0,0,0,0,2,0,5,177,yes
2,2,0,0,1,0,0,0,0,0,4,216,yes
2,2,0,0,0,0,0,0,0,0,4,121,yes
2,1,1,1,1,0,0,0,2,0,3,154,yes
2,2,1,1,1,0,0,0,2,0,4,129,yes
1,1,1,1,1,0,0,0,2,0,2,122,yes
2,2,1,1,1,0,0,0,2,0,4,295,yes
3,2,0,0,1,0,0,0,0,0,5,222,yes
3,2,0,1,0,0,0,0,1,0,5,62,yes
3,2,1,1,1,0,0,0,2,0,5,238,yes
4,2,0,0,1,0,0,0,1,0,6,243,no
1,1,1,1,0,0,0,0,2,0,2,343,yes
1,1,0,0,0,0,0,0,0,0,2,319,yes
2,1,0,0,1,0,0,0,0,0,3,340,yes
2,1,1,1,1,0,0,0,2,0,3,213,yes
5,2,1,1,1,0,0,0,2,0,7,43,no
2,2,1,1,1,0,0,0,2,0,4,143,yes
2,1,1,1,0,0,0,0,2,0,3,72,yes
1,1,1,1,0,1,0,0,2,1,2,235,yes
4,2,0,0,1,0,0,0,0,0,6,58,no
1,1,1,1,1,1,0,0,2,1,2,170,yes
2,1,0,0,0,0,0,0,0,0,3,152,yes
1,1,1,1,1,0,0,0,2,0,2,365,yes
4,2,1,1,1,0,0,0,2,0,6,297,no
2,2,1,1,1,0,0,0,2,0,4,158,yes
2,2,0,0,1,0,0,0,0,0,4,220,yes
2,2,1,1,0,1,0,0,2,1,4,155,yes
2,2,1,1,1,0,0,0,2,0,4,271,yes
3,2,1,1,1,1,0,0,2,1,5,319,yes
2,2,1,1,0,0,0,0,2,0,4,180,yes
2,1,1,0,1,0,0,0,1,0,3,169,yes
4,2,1,1,1,0,0,0,1,0,6,169,no
2,1,0,0,1,0,0,0,0,0,3,323,yes
2,2,0,0,1,0,0,0,0,0,4,248,yes
2,1,0,0,0,0,0,0,0,0,3,208,yes
2,2,1,1,0,0,0,0,2,0,4,57,yes
2,1,1,1,1,0,0,0,2,0,3,302,yes
2,2,1,1,1,0,0,0,2,0,4,129,yes
2,2,1,1,1,0,0,0,2,0,4,352,yes
2,1,0,0,1,0,0,0,0,0,3,114,yes
4,2,1,1,0,0,0,0,2,0,6,118,no
1,1,1,1,1,0,0,0,2,0,2,125,yes
4,1,1,1,1,0,0,0,1,0,6,56,no
3,2,1,1,0,1,0,0,2,1,5,101,yes
2,1,1,1,1,0,0,0,2,0,3,247,yes
2,2,1,1,1,0,0,0,2,0,4,290,yes
3,2,1,1,1,0,0,0,2,0,5,247,yes
2,2,0,0,1,0,0,0,0,0,4,248,yes
4,2,1,1,1,1,0,1,2,1,6,255,no
3,2,1,1,0,0,0,0,2,0,5,157,yes
4,2,1,1,1,0,0,0,2,0,6,173,no
4,3,0,0,1,0,0,0,0,0,7,189,no
3,2,1,1,1,0,0,0,2,0,5,82,yes
2,1,1,1,1,0,0,0,2,0,3,135,yes
1,1,1,1,1,0,0,0,2,0,2,171,yes
1,1,1,1,1,0,0,0,2,0,2,90,yes
4,2,0,0,0,0,0,0,0,0,6,67,no
4,2,1,1,1,1,0,0,1,0,6,296,no
1,1,1,1,1,1,0,0,2,1,2,65,yes
5,1,1,1,1,0,0,0,2,0,6,119,no
2,2,1,1,1,0,0,0,2,0,4,475,yes
4,2,0,0,1,0,0,0,0,0,6,117,no
4,2,0,0,1,0,0,0,0,0,6,64,no
2,2,1,1,0,0,0,0,2,0,4,247,yes
5,3,1,1,1,0,0,0,2,0,8,73,no
2,1,1,1,1,0,0,0,2,0,3,337,yes
1,1,1,1,0,0,0,0,2,0,2,128,yes
1,1,1,1,1,0,0,0,2,0,2,145,yes
1,1,0,0,0,0,0,1,0,0,2,79,yes
0,1,0,0,1,0,0,0,0,0,1,179,yes
2,1,1,1,1,0,0,0,2,0,3,120,yes
4,3,0,1,1,0,0,0,1,0,7,204,no
2,1,1,1,1,0,0,0,2,0,3,151,yes
4,2,0,0,1,0,0,0,1,0,6,243,no
2,2,0,0,0,0,0,0,0,0,4,263,yes
4,2,1,1,1,1,0,1,2,1,6,202,no
5,2,1,1,1,0,0,0,2,0,7,54,yes
1,1,1,1,0,0,0,0,2,0,2,230,yes
4,2,1,1,1,0,0,0,2,0,6,81,no
2,2,1,1,1,0,0,0,2,0,4,98,yes
2,2,1,1,1,0,1,0,2,1,4,95,yes
1,1,1,1,1,0,0,0,2,0,2,137,yes
2,1,1,1,1,0,0,0,2,0,3,126,yes
1,1,0,1,0,0,0,0,1,0,2,102,yes
2,1,1,1,1,0,0,0,2,0,3,367,yes
4,2,0,0,1,0,0,0,0,0,7,45,no
2,2,0,0,1,0,0,0,0,0,4,212,yes
1,1,1,1,1,0,0,0,2,0,2,137,yes
4,2,1,1,0,0,0,0,2,0,6,171,no
2,2,1,1,1,0,0,0,2,0,4,146,yes
2,1,1,1,1,0,0,0,2,0,3,177,yes
1,1,1,1,1,0,1,0,2,1,2,141,yes
2,2,1,1,1,1,0,0,2,1,4,269,yes
4,2,1,1,1,0,0,0,1,0,6,71,no
2,2,1,1,1,0,0,0,2,0,4,76,yes
1,1,1,1,0,1,0,0,2,1,2,469,yes
2,2,1,1,1,0,0,0,2,0,4,75,yes
2,2,1,1,1,0,0,0,2,0,4,223,yes
2,1,0,0,0,0,0,0,0,0,3,103,yes
4,2,0,0,0,0,0,0,0,0,6,324,no
4,2,1,1,0,0,0,0,2,0,6,144,no
2,2,1,1,1,0,0,0,2,0,4,77,yes
4,2,1,1,1,0,0,0,1,0,6,80,no
2,1,1,1,0,1,0,0,2,1,3,106,yes
3,3,1,1,0,0,0,0,2,0,6,89,yes
4,3,0,0,1,0,0,0,0,0,7,65,no
3,2,0,0,0,0,0,0,0,0,5,110,yes
3,2,1,1,1,0,0,0,2,0,5,156,yes
4,2,1,1,1,0,0,0,0,0,6,159,no
1,1,0,0,0,0,0,0,0,0,2,190,yes
2,2,0,0,0,0,0,0,0,0,4,322,yes
3,2,0,0,0,0,0,0,0,0,5,137,yes
3,1,0,0,0,0,0,0,0,0,4,146,yes
2,2,1,1,0,0,0,0,2,0,4,245,yes
2,2,1,1,1,0,0,0,2,0,4,127,yes
2,1,1,1,1,0,0,0,2,0,3,61,yes
2,1,1,1,1,0,0,0,2,0,3,134,yes
2,1,1,1,1,0,0,0,2,0,3,388,yes
2,2,1,1,1,0,0,0,2,0,4,146,yes
2,2,1,1,1,0,0,0,2,0,4,358,yes
2,2,1,1,1,0,0,0,2,0,4,509,yes
2,2,1,1,1,0,0,0,2,0,4,298,yes
2,1,0,0,1,0,0,0,0,0,3,101,yes
2,1,1,1,1,0,0,0,2,0,3,336,yes
2,2,1,1,1,0,0,0,2,0,4,313,yes
2,2,0,0,1,0,0,0,0,0,4,130,yes
2,1,0,0,0,0,0,0,0,0,3,38,yes
1,1,1,1,0,0,1,0,2,1,2,297,yes
1,1,0,0,0,0,0,0,0,0,2,146,yes
2,2,1,1,1,0,0,0,2,0,4,302,yes
4,2,0,0,1,0,0,0,1,0,6,248,no
0,1,0,0,0,0,0,0,0,0,1,89,yes
4,3,0,0,1,0,0,0,0,0,7,106,no
3,1,0,0,1,0,0,0,0,0,4,113,yes
2,2,1,1,1,0,0,0,2,0,4,414,yes
2,1,0,0,0,0,0,0,0,0,3,94,yes
2,2,0,0,0,0,0,0,0,0,4,44,yes
3,2,1,1,1,0,0,0,2,0,5,59,yes
1,1,1,1,0,1,0,0,2,1,2,207,yes
1,1,1,1,0,0,0,0,2,0,2,135,yes
4,2,1,1,1,0,0,0,2,0,6,351,no
3,2,1,1,1,0,0,0,2,0,5,112,yes
1,1,0,0,0,0,0,0,0,0,2,51,yes
1,1,1,0,1,0,0,0,1,0,2,197,yes
2,1,1,1,1,0,0,0,2,0,3,199,yes
1,1,1,1,1,0,0,0,2,0,2,274,yes
1,1,1,1,0,0,0,0,2,0,2,65,yes
3,1,1,1,1,0,0,0,2,0,4,17,yes
2,1,0,0,0,0,0,0,0,0,3,152,yes
2,2,1,1,1,0,0,0,2,0,4,165,yes
2,2,1,1,1,0,0,0,2,0,4,1,yes
2,1,1,1,1,0,0,0,2,0,3,191,no
2,1,0,0,1,0,0,0,0,0,3,375,yes
3,2,1,1,1,0,0,0,2,0,5,170,yes
2,1,0,0,1,0,0,0,0,0,3,49,yes
2,2,0,0,0,0,0,0,0,0,4,23,yes
2,2,1,1,1,0,0,0,2,0,4,94,yes
1,1,1,1,0,0,0,0,2,0,2,356,yes
4,2,0,0,0,0,0,0,0,0,6,76,no
3,2,1,1,1,1,0,0,2,1,5,225,yes
1,1,1,1,1,0,0,0,2,0,2,107,yes
1,1,1,1,0,1,0,1,2,1,2,250,yes
3,2,1,1,0,0,0,0,2,0,5,147,yes
1,1,0,0,1,0,0,0,0,0,2,86,yes
1,1,1,1,0,0,0,0,2,0,2,461,yes
2,1,0,0,0,0,0,0,0,0,3,99,yes
4,2,0,0,0,0,0,0,1,0,6,179,no
2,2,1,1,0,0,0,0,2,0,4,325,yes
2,1,0,0,0,0,0,0,0,0,3,398,yes
1,1,1,1,1,0,0,0,2,0,2,1211,yes
4,2,1,1,0,0,0,0,2,0,6,175,no
4,2,1,1,1,0,0,0,2,0,6,107,no
5,3,0,0,0,0,0,0,1,0,8,179,no
2,2,0,0,1,1,0,0,0,1,4,695,yes
3,2,1,1,0,0,0,0,2,0,5,142,yes
2,1,0,0,0,0,0,0,0,0,3,143,yes
1,1,0,0,1,0,0,1,0,0,2,124,yes
3,2,1,1,1,0,0,0,2,0,5,146,yes
1,1,1,1,0,1,0,1,2,1,2,249,yes
3,2,1,1,0,0,0,0,2,0,5,175,yes
3,2,0,0,1,0,0,0,0,0,5,31,yes
1,1,0,0,1,0,0,0,0,0,2,127,yes
2,2,0,0,1,0,0,0,0,0,4,47,yes
1,1,1,1,0,0,0,0,2,0,2,72,yes
4,1,1,1,0,1,0,0,1,0,5,231,no
1,1,0,0,1,0,0,0,0,0,2,221,yes
1,1,1,1,1,0,0,0,2,0,2,42,yes
1,1,1,1,1,0,0,0,2,0,2,175,yes
1,1,1,1,1,0,0,0,2,0,2,223,yes
1,1,1,1,1,0,0,0,2,0,2,158,yes
1,1,1,1,0,0,0,0,2,0,2,114,yes
1,1,0,0,1,0,0,0,0,0,2,48,yes
2,2,1,1,1,0,0,0,2,0,4,80,yes
4,4,1,1,0,1,0,1,2,1,8,461,no
2,2,1,1,0,0,0,0,2,0,4,187,yes
2,2,1,1,1,0,0,0,2,0,4,112,yes
2,1,1,1,1,0,0,0,2,0,3,79,yes
4,2,1,1,1,0,0,0,2,0,6,55,no
0,1,1,1,1,0,0,1,2,0,1,172,yes
1,1,1,1,0,0,0,0,2,0,2,365,yes
4,3,0,0,1,0,0,0,0,0,7,72,no
2,1,1,1,1,0,0,0,2,0,3,168,yes
1,1,1,1,0,0,0,0,2,0,2,164,yes
2,2,1,1,0,0,0,0,2,0,4,401,yes
2,2,1,1,1,0,0,0,2,0,4,85,yes
2,1,1,1,1,0,0,0,2,0,3,97,yes
1,1,1,1,1,0,0,0,2,0,2,64,yes
3,2,0,0,1,0,0,0,0,0,5,42,yes
4,2,0,0,0,0,0,0,1,0,6,122,no
2,2,1,1,1,0,0,0,2,0,4,1,yes
1,1,1,1,1,1,0,0,2,1,2,267,yes
2,2,1,1,1,0,0,0,2,0,4,321,yes
2,0,1,1,1,0,0,0,2,0,2,601,yes
4,2,0,0,1,0,0,0,0,0,6,166,no
2,1,0,0,0,1,0,1,0,1,3,50,yes
3,2,1,1,0,0,0,0,2,0,5,70,yes
4,2,0,0,1,0,0,0,0,0,7,45,no
4,2,1,1,1,0,0,0,2,0,6,46,no
5,3,0,0,0,0,0,0,0,0,8,68,no
1,1,1,1,1,0,0,0,2,0,2,126,yes
2,1,0,0,0,0,0,0,0,0,3,52,yes
3,2,0,0,0,0,0,0,0,0,5,188,yes
1,1,1,1,0,1,1,1,2,2,2,182,yes
2,2,1,1,1,0,0,0,2,0,4,260,yes
2,2,1,1,0,0,0,0,2,0,4,252,yes
4,2,0,1,0,0,0,0,2,0,6,102,no
3,2,1,1,0,1,0,0,2,1,5,235,yes
1,1,0,0,1,0,0,0,0,0,2,68,yes
2,2,0,0,1,0,0,0,0,0,4,320,yes
1,1,0,0,1,0,0,0,0,0,2,156,yes
4,2,1,1,1,0,0,0,2,1,6,44,no
2,2,0,0,0,0,0,0,0,0,4,469,yes
2,2,1,1,0,0,0,0,2,0,4,177,yes
1,1,1,1,1,0,0,0,2,0,2,135,yes
2,1,1,1,1,0,0,0,2,0,3,153,yes
2,2,1,1,1,0,0,0,2,0,4,220,yes
4,2,0,0,1,0,0,0,0,0,6,64,no
4,2,0,0,1,0,0,0,0,0,6,240,no
3,2,1,1,1,0,0,0,2,0,5,195,yes
3,2,1,1,1,0,0,0,2,0,5,275,yes
3,2,0,0,0,0,0,0,0,0,5,119,yes
4,3,0,0,0,0,0,0,0,0,7,52,no
2,1,0,0,1,0,0,0,0,0,3,191,yes
1,1,1,1,1,0,0,0,2,0,2,98,yes
1,1,1,1,0,0,0,0,2,0,2,473,yes
1,1,1,1,1,0,0,0,2,0,2,182,yes
2,2,1,1,1,1,0,0,2,1,4,202,yes
2,2,1,1,1,0,0,0,2,0,4,295,yes
1,1,1,1,1,0,0,0,2,0,2,238,yes
4,4,1,1,0,1,0,1,2,1,8,461,no
2,1,1,1,1,0,0,0,2,0,3,247,yes
3,2,1,1,1,0,0,0,2,0,5,183,yes
4,3,0,0,1,0,0,0,0,0,7,82,no
1,1,1,1,0,0,0,0,2,0,2,274,yes
3,2,1,1,1,0,0,0,2,0,5,73,yes
1,1,1,1,0,0,0,0,2,0,2,283,yes
2,2,1,1,0,0,0,0,2,0,4,43,yes
4,3,0,0,1,0,0,0,0,0,7,126,no
2,1,1,1,1,0,0,0,2,0,3,80,yes
1,1,0,0,1,0,0,0,0,0,2,44,yes
4,1,0,0,1,0,0,0,0,0,5,83,no
3,2,1,1,1,0,0,0,2,0,5,128,yes
4,2,1,1,1,0,0,0,1,0,6,62,no
1,1,1,0,0,0,0,0,1,0,2,204,yes
3,2,1,1,0,0,0,0,2,0,5,101,yes
3,2,1,1,1,0,0,0,2,0,5,292,yes
3,2,1,1,1,0,0,1,2,0,5,88,yes
1,1,1,1,1,0,0,0,2,0,2,93,yes
2,2,1,1,1,0,0,0,2,0,4,266,yes
4,2,1,1,1,0,0,0,2,0,7,61,no
1,1,1,1,1,0,0,0,2,0,2,187,yes
2,1,1,1,1,0,0,0,2,0,3,122,yes
1,1,0,0,1,0,0,0,0,0,2,152,yes
1,1,1,1,1,0,0,0,2,0,2,169,yes
2,1,0,0,1,0,0,0,0,0,3,233,yes
2,1,0,0,1,0,0,0,0,0,3,118,yes
2,2,0,0,1,0,0,0,0,0,4,277,yes
1,1,1,1,0,0,0,0,2,0,2,197,yes
3,2,1,1,1,0,0,0,2,0,5,170,yes
4,3,1,1,1,0,0,0,2,0,7,46,yes
4,3,1,1,0,0,0,0,2,0,7,144,no
3,2,1,1,1,0,0,0,2,0,5,137,yes
3,2,0,0,0,0,0,0,0,0,5,280,yes
1,1,1,1,0,0,0,0,2,0,2,279,yes
4,1,0,0,0,0,0,0,0,0,6,172,no
3,2,1,1,1,1,0,0,2,1,5,233,yes
4,1,1,1,0,0,0,0,1,0,6,52,no
3,2,0,0,0,0,0,0,0,0,5,265,yes
4,2,0,0,1,0,0,0,0,0,6,64,no
1,1,0,0,1,0,0,0,0,0,2,38,yes
1,1,1,1,1,0,0,0,2,0,2,129,yes
4,3,0,0,0,0,0,0,0,0,8,88,no
4,2,0,0,1,0,0,0,1,0,6,96,no
2,2,0,0,1,0,0,0,0,0,4,224,yes
2,2,1,1,1,0,0,0,2,0,4,86,yes
2,1,0,0,1,0,0,0,0,0,3,233,yes
3,2,0,0,0,0,0,0,0,0,5,79,yes
4,2,0,0,1,0,0,0,0,0,6,209,no
2,2,0,0,1,0,0,0,0,0,4,64,yes
3,2,0,0,1,0,0,0,0,0,5,199,yes
4,2,0,0,1,0,0,0,0,0,6,199,no
3,2,1,1,1,1,0,0,2,1,5,109,yes
1,1,1,1,1,0,1,0,2,1,2,254,yes
4,2,1,1,0,0,0,0,2,0,6,175,no
2,2,1,1,1,0,0,0,2,0,4,146,yes
2,2,1,1,1,0,0,0,2,0,4,100,yes
1,1,1,1,0,0,0,0,2,0,2,350,yes
2,2,1,1,0,0,0,0,2,0,4,148,yes
4,2,0,0,0,0,0,0,0,0,6,224,no
4,2,0,0,0,0,0,0,0,0,6,150,no
3,1,0,0,0,0,0,0,0,0,4,24,yes
3,2,1,1,1,0,0,0,2,0,5,165,yes
2,2,1,1,0,0,0,0,2,0,4,32,yes
4,1,1,1,1,0,0,0,2,0,6,63,no
4,2,1,1,1,1,0,0,1,0,6,296,no
2,1,0,0,0,0,0,0,0,0,3,136,yes
4,3,1,1,1,0,0,0,2,0,7,107,no
4,2,1,1,1,0,0,0,2,0,6,215,no
3,2,1,1,1,0,0,0,2,0,5,248,yes
4,2,0,0,0,0,0,0,0,0,6,282,no
3,2,1,1,0,0,0,0,2,0,5,110,yes
2,1,1,1,1,0,0,0,2,0,3,112,yes
4,3,1,1,1,0,0,0,2,1,7,70,no
4,2,0,0,0,0,0,0,0,0,6,168,no
4,2,0,0,0,0,0,0,0,0,6,110,no
2,2,1,1,1,0,0,0,2,0,4,136,yes
2,2,1,1,1,0,0,0,2,0,4,314,yes
2,1,0,0,1,0,0,0,0,0,3,92,yes
2,1,0,0,1,0,0,0,0,0,3,297,yes
1,1,0,0,1,0,0,0,0,0,2,145,yes
4,2,1,1,0,0,0,0,2,0,6,148,no
4,1,1,1,1,0,0,0,2,0,6,94,no
2,2,1,1,1,0,0,0,2,0,4,318,yes
2,1,0,0,1,0,0,0,0,0,3,292,yes
3,1,1,1,1,0,0,0,2,0,4,46,yes
1,1,1,1,1,0,0,0,2,0,2,264,yes
1,1,1,1,1,0,0,0,2,0,2,272,yes
3,2,1,1,1,0,0,0,2,0,5,249,yes
3,2,0,0,1,0,0,0,0,0,5,179,yes
3,2,1,1,1,0,0,0,2,0,5,238,yes
1,1,0,0,1,0,0,0,0,0,2,174,yes
2,2,1,1,1,0,0,0,2,0,4,180,yes
2,2,1,1,0,0,0,0,2,0,4,203,yes
4,1,0,1,1,0,0,0,1,0,5,78,no
4,2,0,0,1,0,0,0,0,0,6,214,no
1,1,1,1,1,0,0,0,2,0,2,179,yes
2,2,1,1,1,0,0,0,2,0,4,193,yes
2,1,0,0,1,0,0,0,0,0,3,55,yes
3,2,1,1,0,1,0,0,2,1,5,208,yes
4,1,1,1,0,0,0,0,1,0,5,47,no
0,1,1,1,0,1,0,1,2,1,1,154,yes
3,2,1,1,1,0,0,0,2,0,5,184,yes
3,2,1,1,0,0,0,0,2,0,5,107,yes
1,1,0,0,1,0,0,1,0,0,2,123,yes
4,2,0,0,1,0,0,0,0,0,6,43,no
1,1,0,0,1,0,1,0,0,1,2,62,yes
4,2,0,0,0,0,0,0,0,0,6,129,no
4,2,1,1,1,0,0,0,0,0,6,132,no
2,2,0,0,1,0,0,0,0,0,4,55,yes
3,1,1,1,1,0,0,0,2,0,4,196,yes
4,2,1,1,1,0,0,0,1,0,6,59,no
1,1,1,1,0,1,0,0,2,1,2,83,yes
4,3,0,0,1,0,0,0,0,0,7,127,yes
1,1,1,1,1,1,0,0,2,1,2,436,yes
2,1,1,0,1,0,0,0,1,0,3,276,yes
1,1,1,1,1,0,0,0,2,0,2,235,yes
2,1,1,1,1,0,0,0,2,0,3,149,yes
1,1,1,1,1,0,0,0,2,0,2,122,yes
1,1,0,0,1,0,0,0,0,0,2,137,yes
2,1,1,1,1,0,0,0,2,0,3,176,yes
2,2,0,0,0,0,0,0,0,0,4,263,yes
3,0,1,1,1,0,0,0,2,0,3,260,yes
2,1,0,0,0,0,0,0,0,0,3,152,yes
1,1,1,1,1,0,0,0,2,0,2,217,yes
4,2,0,0,1,0,0,0,0,0,6,59,no
2,2,1,1,1,0,0,0,2,0,4,149,yes
2,2,1,1,0,0,0,0,2,0,4,274,yes
3,2,1,1,0,0,0,0,2,0,5,156,yes
3,2,1,1,0,0,0,0,2,0,5,156,yes
4,2,0,1,1,0,0,0,1,0,6,149,no
0,1,1,1,1,0,0,0,2,0,1,164,yes
2,2,0,0,1,0,0,0,0,0,4,300,yes
2,1,1,1,1,0,0,0,2,0,3,237,yes
0,1,1,1,1,0,0,0,2,0,1,207,yes
2,2,1,1,1,0,0,0,2,0,4,177,yes
2,2,1,1,1,0,0,0,2,0,4,94,yes
2,1,1,1,1,0,0,0,2,0,3,61,yes
1,1,1,1,1,0,0,0,2,0,2,238,yes
